id_global,categoria,tipo,nombre,archivoDXF,x_mm,y_mm,z_mm,x_min_mm,x_max_mm,y_min_mm,y_max_mm,largo_x_mm,ancho_y_mm,area_mm2,masa_g,material,fuente_posicion,fuente_masa,detectada,num_puntos,notas
1,estructura,ala,ALA_DER_FIJA,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\ALA_DER_FIJA.DXF,866.073383986028,356.776632402418,0,735,990,119.1366294,650,255,530.8633706,104498.653566,NaN,,DXF_separado,manual,1,132,"Completar masa_g, z_mm y material manualmente"
2,estructura,ala,ALA_IZQ_FIJA,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\ALA_IZQ_FIJA.DXF,866.073383986028,-356.776632402418,0,735,990,-650,-119.1366294,255,530.8633706,104498.653566,NaN,,DXF_separado,manual,1,132,"Completar masa_g, z_mm y material manualmente"
3,estructura,superficie_control,ALERON_DER,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\ALERON_DER.DXF,940.946999999999,350,0,899.0368442,982.8571429,200,500,83.8202987,300,16574.7,NaN,,DXF_separado,manual,1,8,"Completar masa_g, z_mm y material manualmente"
4,estructura,superficie_control,ALERON_IZQ,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\ALERON_IZQ.DXF,940.946999999999,-350,0,899.0368442,982.8571429,-500,-200,83.8202987,300,16574.7,NaN,,DXF_separado,manual,1,8,"Completar masa_g, z_mm y material manualmente"
5,estructura,boom,BOOM_TRASERO,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\BOOM_TRASERO.DXF,1190,-1.72095582934207e-15,0,1140,1290,-8.75000000000006,8.74999999999994,150,17.5,1312.5,NaN,,DXF_separado,manual,1,10,"Completar masa_g, z_mm y material manualmente"
6,estructura,cola,COLA_DER_FIJA,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\COLA_DER_FIJA.DXF,1397.11199812306,85.3325861521644,0,1325,1485,17.4999999999999,220,160,202.5,12963.8508775,NaN,,DXF_separado,manual,1,48,"Completar masa_g, z_mm y material manualmente"
7,estructura,cola,COLA_IZQ_FIJA,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\COLA_IZQ_FIJA.DXF,1397.11199812306,-85.3325861521644,0,1325,1485,-220,-17.5000000000001,160,202.5,12963.8508775,NaN,,DXF_separado,manual,1,48,"Completar masa_g, z_mm y material manualmente"
8,estructura,superficie_control,ELEVON_COLA_DER,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\ELEVON_COLA_DER.DXF,1458.32200000001,102.5,0,1434.8540359,1481.7901235,17.4999999999999,187.5,46.9360876000001,170,5124.82,NaN,,DXF_separado,manual,1,8,"Completar masa_g, z_mm y material manualmente"
9,estructura,superficie_control,ELEVON_COLA_IZQ,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\ELEVON_COLA_IZQ.DXF,1458.32200000001,-102.5,0,1434.8540359,1481.7901235,-187.5,-17.5000000000001,46.9360876000001,170,5124.82,NaN,,DXF_separado,manual,1,8,"Completar masa_g, z_mm y material manualmente"
10,estructura,fuselaje,FUSELAJE,C:\Users\Juan Andres Sanchez\Desktop\Vtol Stallion\MatLab_Simulaciones\cad\estructura_dxf\FUSELAJE.DXF,827.397089212637,2.54406793121799e-15,0,495,1140,-119.1366294,119.1366294,645,238.2732588,113644.991858,NaN,,DXF_separado,manual,1,750,"Completar masa_g, z_mm y material manualmente"
